Год отчета,ID Студента,ФИО студента,Факультет,Курс,Статус,Год зачисления,Предмет,Оценка,ФИО преподавателя
2025,d9521266,Громов Иннокентий Фокич,Юридический факультет,1,Обучается,2025,Теория государства и права,4,Всеслав Терентьевич Пахомов
2025,d9521266,Громов Иннокентий Фокич,Юридический факультет,1,Обучается,2025,Криминалистика,3,Соколова Агата Леонидовна
2025,fd521b52,Орлов Дмитрий Виленович,Факультет информационных технологий,1,Обучается,2025,Архитектура ЭВМ,4,Вацлав Давыдович Савин
2025,fd521b52,Орлов Дмитрий Виленович,Факультет информационных технологий,1,Обучается,2025,Базы данных,5,Кир Васильевич Кулагин
2025,fd521b52,Орлов Дмитрий Виленович,Факультет информационных технологий,1,Обучается,2025,Алгоритмы и структуры данных,4,Рябова Глафира Николаевна
2025,ca1fda43,Виктор Ануфриевич Михайлов,Факультет информационных технологий,1,Обучается,2025,Базы данных,2,Кудряшова Анна Валентиновна
2025,ca1fda43,Виктор Ануфриевич Михайлов,Факультет информационных технологий,1,Обучается,2025,Архитектура ЭВМ,5,Дмитриева Жанна Оскаровна
2025,ca1fda43,Виктор Ануфриевич Михайлов,Факультет информационных технологий,1,Обучается,2025,Разработка на Go,4,Емельян Григорьевич Костин
2025,ca1fda43,Виктор Ануфриевич Михайлов,Факультет информационных технологий,1,Обучается,2025,Алгоритмы и структуры данных,4,Зуева Анастасия Ефимовна
2025,ca1fda43,Виктор Ануфриевич Михайлов,Факультет информационных технологий,1,Обучается,2025,Машинное обучение,5,Мартынова Прасковья Альбертовна
2025,b53aacd5,Николай Борисович Пономарев,Экономический факультет,1,Обучается,2025,Налоги,3,Ангелина Захаровна Новикова
2025,b53aacd5,Николай Борисович Пономарев,Экономический факультет,1,Обучается,2025,Бухгалтерский учет,2,Сидоров Корнил Глебович
2025,b53aacd5,Николай Борисович Пономарев,Экономический факультет,1,Обучается,2025,Макроэкономика,2,Всеслав Терентьевич Пахомов
2025,07ec7bd6,Ефремова Татьяна Павловна,Медицинский факультет,1,Обучается,2025,Латинский язык,2,Емельян Григорьевич Костин
2025,07ec7bd6,Ефремова Татьяна Павловна,Медицинский факультет,1,Обучается,2025,Биохимия,5,Фомичев Сильвестр Иосипович
2025,07ec7bd6,Ефремова Татьяна Павловна,Медицинский факультет,1,Обучается,2025,Хирургия,4,Жуков Пимен Анисимович
2025,07ec7bd6,Ефремова Татьяна Павловна,Медицинский факультет,1,Обучается,2025,Анатомия,2,Олег Захарьевич Григорьев
2025,b76b6cbd,Ширяев Егор Федотович,Экономический факультет,1,Обучается,2025,Макроэкономика,4,Рожков Януарий Игоревич
2025,b76b6cbd,Ширяев Егор Федотович,Экономический факультет,1,Обучается,2025,Финансы,3,Кудряшова Анна Валентиновна
2025,cae50164,Любовь Афанасьевна Орехова,Экономический факультет,1,Обучается,2025,Финансы,2,Кудряшова Анна Валентиновна
2025,cae50164,Любовь Афанасьевна Орехова,Экономический факультет,1,Обучается,2025,Налоги,5,София Павловна Сорокина
2025,cae50164,Любовь Афанасьевна Орехова,Экономический факультет,1,Обучается,2025,Бухгалтерский учет,4,Агата Викторовна Гусева
2025,cae50164,Любовь Афанасьевна Орехова,Экономический факультет,1,Обучается,2025,Макроэкономика,4,Жуков Пимен Анисимович
2025,aa6a6d4f,Карпова Дарья Владимировна,Факультет информационных технологий,1,Обучается,2025,Базы данных,2,Дмитриева Жанна Оскаровна
2025,aa6a6d4f,Карпова Дарья Владимировна,Факультет информационных технологий,1,Обучается,2025,Архитектура ЭВМ,3,Колесникова Александра Феликсовна
2025,aa6a6d4f,Карпова Дарья Владимировна,Факультет информационных технологий,1,Обучается,2025,Алгоритмы и структуры данных,5,Жанна Матвеевна Авдеева
2025,68fbd74c,Дементьева Лидия Аскольдовна,Факультет информационных технологий,1,Обучается,2025,Алгоритмы и структуры данных,4,Агата Викторовна Гусева
2025,68fbd74c,Дементьева Лидия Аскольдовна,Факультет информационных технологий,1,Обучается,2025,Архитектура ЭВМ,5,София Святославовна Горшкова
2025,68fbd74c,Дементьева Лидия Аскольдовна,Факультет информационных технологий,1,Обучается,2025,Базы данных,4,Колесникова Александра Феликсовна
2025,68fbd74c,Дементьева Лидия Аскольдовна,Факультет информационных технологий,1,Обучается,2025,Разработка на Go,2,Виноградова Кира Михайловна
