ID студента,ФИО,Год поступления,Статус,Средний балл,Год выпуска,Город,Комментарий
STU000736,Козлов Никита Иванович,21.01.2016,выпущен,"3,71",2022,Томск,повтор
STU001781,Петров Анна Михайловна,03/10/2017,выпущен,3.19,2023,Томск,
STU001974,Лебедев Егор Павловна,13.07.2017,выпущен,4.15,2023,СПб,академ отпуск
STU000024,Иванов Анна Сергеевич,19.09.2017,выпущен,4.30,2023,Новосибирск,
STU002010,Соколов Михаил Павлович,2018-01-02,отчислен,4.20,2023,Томск,
STU002010,Соколов Михаил Павлович,2018,академ,4.21,2023,Казань,
STU001986,Лебедев Виктория Дмитриевна,09/10/2019,выпущен,3.78,2024,СПб,академ отпуск
STU000654,Иванов Сергей Дмитриевич,19.08.2017,обучается,"4,20",2022,Москва,перевод
STU002288,Смирнов Иван Дмитриевна,2019,выпущен,"4,03",2023,Москва,повтор
STU000984,Попов Сергей Михайлович,2020-07-10,graduated,"4,97",2025,Казань,
STU000639,Соколов Дарья Дмитриевич,13.05.2020,отчислен,"4,51",2024,Новосибирск,перевод
STU001679,Соколов Дарья Сергеевна,06.06.2016,выпущен,"3,81",2022,Екатеринбург,академ отпуск
STU000805,Соколов Дарья Михайлович,03.10.2016,отчислен,3.71,2020,Казань,повтор
STU000995,Кузнецов Татьяна Алексеевич,2017-03-27,отчислен,"3,57",2022,Томск,академ отпуск
STU001387,Попов Ольга Дмитриевна,2020,академ,"3,43",2026,Новосибирск,
STU000508,Козлов Егор Дмитриевич,2019-10-22,выпущен,4.34,2024,Томск,
STU000524,Иванов Елена Алексеевич,08/28/2018,выпущен,"3,13",2024,Казань,повтор
STU000440,Козлов Анна Михайлович,08/08/2020,выпущен,"4,38",2025,Екатеринбург,академ отпуск
STU001098,Лебедев Татьяна Дмитриевна,2020-07-19,graduated,3.48,2025,Екатеринбург,академ отпуск
STU002200,Попов Павел Михайлович,2016,выпущен,"4,36",2021,СПб,
STU000854,Попов Елена Алексеевна,10/20/2016,graduated,3.03,2022,Томск,повтор
STU001349,Попов Иван Павлович,2019-12-06,выпущен,"4,28",2024,Казань,академ отпуск
STU000263,Козлов Михаил Дмитриевна,09/03/2020,выпущен,4.54,2024,СПб,
STU000522,Лебедев Виктория Алексеевич,2020,отчислен,,2025,СПб,повтор
STU000974,Петров Алина Сергеевич,2019,выпущен,4.70,2023,Екатеринбург,
STU000489,Козлов Павел Дмитриевич,2016-10-08,выпущен,"4,45",2021,Екатеринбург,повтор
STU001952,Иванов Павел Алексеевна,2020,выпущен,3.27,2025,Екатеринбург,
STU001124,Попов Егор Дмитриевна,11/05/2018,отчислен,,2023,Москва,перевод
STU001672,Кузнецов Алексей Михайловна,02/04/2019,выпущен,"4,85",2025,Екатеринбург,
STU001195,Соколов Павел Иванович,2017-12-27,graduated,3.06,2021,Томск,академ отпуск
STU000068,Кузнецов Павел Ивановна,16.07.2019,выпущен,4.12,2023,Екатеринбург,академ отпуск
STU001032,Кузнецов Анна Алексеевна,10.05.2016,graduated,4.52,2021,Томск,
STU001519,Кузнецов Дмитрий Павловна,20.05.2019,выпущен,3.12,2023,СПб,
STU000184,Козлов Анна Дмитриевна,10.08.2016,в академе,3.84,2022,СПб,
