student_id,full name,enrollment_date,student_status,avg_score,graduation_year,faculty,source_system
STU000663,Кузнецов Егор Сергеевна,2021-12-07,выпущен,,2026,Математика,LMS
STU000032,Петров Анна Павловна  ,05.10.2022,выпущен,3.45,2026,Математика,DeanOffice
STU001084,Кузнецов Михаил Павлович,07/09/2024,выпущен,"3,27",2030,Лингвистика,1C
STU001142,Смирнов Алексей Алексеевна,2022,ОТЧИСЛЕН,"3,95",2026,Лингвистика,LMS
STU000864,Лебедев Михаил Сергеевич,2024,ОТЧИСЛЕН,3.37,2029,Менеджмент,DeanOffice
STU000557,Лебедев Никита Ивановна,2024-10-05,enrolled,4.77,2029,История,LMS
STU000416,Кузнецов Татьяна Михайлович,2020,выпущен,3.00,2026,История,DeanOffice
STU002396,Соколов Ольга Сергеевич,25.06.2023,в академе,"4,75",2027,Математика,1C
STU001204,Кузнецов Алексей Ивановна,2023,академ,"3,40",2029,Лингвистика,1C
,Петров Елена Дмитриевич,03.12.2023,выпущен,4.74,2029,Информатика,1C
STU000057,Попов Павел Алексеевна,2020,отчислен,,2026,Математика,1C
STU001178,Петров Дмитрий Сергеевич,06/27/2022,выпущен,4.34,2026,Экономика,LMS
STU000612,Козлов Елена Ивановна,2023,SUSPENDED,4.43,2027,Информатика,1C
STU000306,Смирнов Павел Ивановна,09/26/2022,академ,"3,38",2026,Юриспруденция,DeanOffice
STU002175,Соколов Мария Михайлович,2021-03-06,выпущен,4.28,2025,Юриспруденция,LMS
STU000451,Кузнецов Дарья Павлович,2024,выпущен,"4,15",2028,Физика,DeanOffice
STU000020,Смирнов Алина Алексеевич,2023,ОБУЧАЕТСЯ,3.79,2027,История,DeanOffice
STU001730,Соколов Павел Сергеевна  ,2022-10-14,в академе,"4,57",2028,Информатика,DeanOffice
STU001948,Иванов Алина Алексеевич,12/25/2020,выпущен,3.93,2026,История,LMS
STU001370,Лебедев Сергей Алексеевна,09.10.2020,обучается,3.83,2025,Информатика,DeanOffice
STU000272,Смирнов Павел Михайлович,10.05.2020,отчислен,,2026,Физика,1C
STU001858,Лебедев Виктория Дмитриевна,08.03.2021,ACTIVE,3.64,2025,Информатика,LMS
STU000272,Смирнов Павел Михайлович,10/11/2020,выпущен,2.99,2026,Физика,1C
STU001496,Иванов Анна Сергеевна,14.02.2021,отчислен,3.71,2026,Экономика,LMS
STU001132,Попов Алексей Сергеевич,19.11.2022,выпущен,4.57,2026,Математика,LMS
STU000241,Иванов Дарья Павлович,2020-05-17,enrolled,3.41,2026,Физика,1C
STU000962,Лебедев Павел Павловна,16.09.2021,ВЫПУЩЕН,,2025,Информатика,LMS
STU002396,Соколов Ольга Сергеевич,2023,graduated,"4,74",2027,Менеджмент,1C
STU001467,Попов Иван Иванович,11/25/2024,graduated,3.32,2028,История,LMS
