UID,StudentName,Admission,Current Status,Score,Graduation,Department,is_budget,notes
STU000248,Иванов Татьяна Алексеевич,02.08.2027,Учится,3.85,2033,История,yes,manual_fix
STU001409,Смирнов Егор Сергеевич,03/20/2030,graduated,,2034,История,no,reimport
STU000584,Соколов Алина Павловна,2030-10-07,Учится,4.84,2034,Информатика,no,
STU000128,Козлов Михаил Михайловна,10/22/2028,выпущен,3.22,2034,Юриспруденция,yes,
STU001746,Козлов Дмитрий Михайловна,2030-11-25,ACTIVE,4.51,2034,Менеджмент,yes,manual_fix
STU000258,Кузнецов Михаил Павлович,11/08/2030,enrolled,4.40,2034,Юриспруденция,yes,
STU001761,Козлов Сергей Алексеевич,11/12/2026,graduated,4.55,2031,Юриспруденция,no,
 STU001088 ,Попов Анна Ивановна,2029-09-14,академ,"3,84",2034,Информатика,no,manual_fix
STU002198,Петров Татьяна Алексеевна,2030-11-08,enrolled,4.17,2034,Математика,yes,manual_fix
STU002072,Кузнецов Дмитрий Михайловна,2026-04-22,отчислен,"3,29",2031,Информатика,no,reimport
STU002284,Иванов Никита Сергеевна,03/15/2026,ACTIVE,3.62,2032,Экономика,yes,
,Лебедев Анна Сергеевна,2027-10-20,отчислен,4.19,2031,Экономика,yes,
STU001175,Козлов Алексей Дмитриевна,07/10/2027,ACTIVE,4.48,2032,Физика,yes,
STU000700,Козлов Виктория Михайлович,04.05.2029,в академе,3.19,2033,Математика,no,reimport
,Соколов Алина Михайлович,2027,выпущен,3.44,2031,История,yes,
STU001198,Кузнецов Михаил Дмитриевич,2027,выпущен,2.93,2031,Лингвистика,yes,
STU002040,Лебедев Мария Сергеевна,03/24/2025,выпущен,"4,07",2030,Физика,no,
STU001663,Соколов Михаил Сергеевна,12/07/2026,enrolled,"3,63",2031,Экономика,no,
STU001528,Козлов Дмитрий Сергеевич,12/19/2030,отчислен,"3,75",2034,История,no,reimport
STU002282,Петров Алексей Михайловна,10/13/2030,Учится,3.47,2034,Лингвистика,no,
STU002009,Попов Алина Дмитриевич,2027-03-27,обучается,4.37,2033,Физика,no,
STU000811,Лебедев Дмитрий Алексеевна,2030,Учится,4.65,2034,Экономика,yes,reimport
STU001832,Козлов Алина Сергеевна,04.06.2027,ACTIVE,"3,91",2031,Менеджмент,yes,reimport
STU001690,Петров Егор Сергеевич,2029,в академе,4.20,2034,Информатика,no,
STU000859,Кузнецов Ольга Ивановна,05.09.2029,ACTIVE,4.73,2034,Экономика,no,manual_fix
STU001850,Кузнецов Дарья Ивановна,09.04.2029,обучается,4.02,2033,Менеджмент,yes,reimport
STU000566,Лебедев Егор Алексеевна,07/01/2027,в академе,3.66,2031,Информатика,yes,manual_fix
STU000892,Иванов Павел Ивановна,14.07.2030,обучается,3.01,2034,Менеджмент,yes,
STU002043,Попов Иван Дмитриевна,26.09.2026,ACTIVE,4.11,2030,Информатика,no,
STU001079,Козлов Павел Павловна,08.02.2029,обучается,4.27,2034,Информатика,yes,manual_fix
,Козлов Алексей Павловна,06/23/2025,обучается,"4,38",2030,История,yes,manual_fix
STU001421,Петров Дмитрий Сергеевич,08/08/2028,обучается,"4,19",2032,Юриспруденция,yes,manual_fix
STU001663,Соколов Михаил Сергеевна,2026,отчислен,3.48,2031,Экономика,no,
STU000785,Кузнецов Алексей Дмитриевна,2030-07-10,обучается,"4,38",2034,История,no,
STU001698,Соколов Дмитрий Дмитриевич,2028,в академе,3.57,2033,Математика,no,
STU002186,Смирнов Михаил Михайловна,13.08.2028,в академе,4.47,2033,Математика,no,
 STU002163 ,Попов Ольга Михайлович,2027-09-07,обучается,4.58,2033,История,no,reimport
STU000218,Лебедев Дарья Дмитриевна,2028,обучается,"4,11",2032,Физика,yes,
STU001014,Попов Михаил Михайловна,2029-03-23,обучается,4.59,2033,Физика,yes,
STU000552,Петров Мария Дмитриевич,2025-12-03,в академе,"2,93",2031,Лингвистика,no,reimport
STU001379,Смирнов Анна Сергеевич,02/01/2027,ACTIVE,"3,35",2033,Менеджмент,no,reimport
STU000134,Смирнов Иван Алексеевна,02/18/2029,обучается,4.47,2034,Лингвистика,no,
STU002334,Петров Сергей Ивановна,06.12.2026,обучается,3.35,2031,Юриспруденция,no,manual_fix
STU000494,Попов Елена Михайловна,11.05.2029,обучается,3.99,2034,Менеджмент,no,reimport
STU000661,Кузнецов Дмитрий Сергеевич,2026-03-05,обучается,"4,46",2030,Информатика,yes,reimport
STU000655,Соколов Ольга Алексеевна,22.08.2026,отчислен,"4,65",2032,Юриспруденция,yes,
STU001366,Смирнов Егор Павлович,2028-09-15,обучается,3.94,2032,Юриспруденция,yes,manual_fix
STU001304,Соколов Сергей Алексеевич,2025-02-01,ACTIVE,3.79,2029,Лингвистика,yes,
STU000463,Попов Павел Иванович,07/23/2028,отчислен,4.78,2034,Физика,yes,
STU000001,Козлов Мария Алексеевна,2028-05-22,обучается,4.00,2034,Лингвистика,no,
STU000501,Смирнов Мария Дмитриевна,2026-09-17,Учится,4.49,2030,Физика,yes,
STU000365,Козлов Анна Павлович,2027-01-07,обучается,"4,16",2031,Математика,yes,
STU001347,Смирнов Михаил Михайлович,2027,академ,4.14,2033,Экономика,yes,
STU000270,Попов Дарья Дмитриевич,2026-12-09,обучается,"4,47",2030,Менеджмент,yes,manual_fix
STU000223,Козлов Анна Алексеевна,2025-05-11,Учится,"3,69",2031,Информатика,yes,manual_fix
STU001184,Соколов Иван Дмитриевна,06/16/2028,Учится,3.18,2034,Физика,no,
STU001269,Иванов Елена Алексеевна,2026,обучается,4.74,2030,Экономика,yes,
STU002158,Иванов Егор Михайлович,14.03.2030,в академе,"4,56",2034,Физика,no,
 STU002042 ,Лебедев Ольга Сергеевич,06.09.2030,обучается,3.18,2034,Информатика,yes,
STU000387,Петров Татьяна Сергеевна,2026,Учится,3.55,2032,Информатика,no,
STU001592,Соколов Алексей Михайлович,01/22/2027,обучается,3.49,2033,Юриспруденция,yes,
STU000347,Попов Ольга Михайлович,2025-12-28,выпущен,4.19,2031,Экономика,yes,
STU002294,Соколов Алексей Дмитриевна,04/25/2029,ACTIVE,"3,93",2034,Информатика,yes,manual_fix
STU002375,Смирнов Анна Сергеевна,2026,обучается,"4,18",2030,Юриспруденция,yes,manual_fix
STU002320,Лебедев Ольга Ивановна,19.09.2030,отчислен,4.58,2034,Информатика,no,reimport
STU001614,Соколов Елена Павлович,10/24/2028,Учится,"4,29",2034,Информатика,no,manual_fix
STU002340,Петров Анна Дмитриевич,05.02.2029,обучается,"3,24",2034,Математика,no,
STU001351,Смирнов Алина Алексеевич,08/09/2030,обучается,4.66,2034,История,no,
STU002127,Смирнов Павел Алексеевич,11/18/2030,отчислен,3.62,2034,Физика,yes,reimport
STU001521,Лебедев Алексей Сергеевна,13.06.2026,отчислен,4.11,2032,Юриспруденция,yes,reimport
STU000853,Петров Мария Михайловна,2028,в академе,3.60,2034,Экономика,yes,
,Соколов Дмитрий Дмитриевич,2027,отчислен,"4,13",2031,Юриспруденция,no,
STU002243,Козлов Иван Ивановна,02.07.2030,академ,"4,04",2034,Информатика,yes,
STU002061,Соколов Никита Сергеевна,2029,академ,4.63,2034,Физика,yes,manual_fix
STU000666,Лебедев Виктория Алексеевна,2025-08-05,выпущен,3.03,2030,Менеджмент,no,
STU000274,Попов Сергей Михайлович,11/21/2028,отчислен,"4,23",2033,Экономика,yes,manual_fix
STU001761,Козлов Сергей Алексеевич,07/25/2026,ACTIVE,4.77,2031,Менеджмент,no,
STU001361,Иванов Сергей Алексеевич,23.09.2027,отчислен,3.46,2032,Лингвистика,yes,
STU000861,Иванов Алина Иванович,03.06.2030,ACTIVE,3.30,2034,Экономика,no,manual_fix
STU000931,Иванов Елена Сергеевна,2027-10-08,выпущен,3.26,2032,Юриспруденция,no,reimport
STU000307,Козлов Алексей Сергеевич,02/09/2028,обучается,4.20,2034,Физика,yes,manual_fix
STU001677,Петров Татьяна Иванович,07/11/2030,в академе,"4,11",2034,Информатика,no,manual_fix
STU000308,Лебедев Павел Дмитриевич,2026-02-27,обучается,"2,84",2030,Математика,yes,
STU000308,Лебедев Павел Дмитриевич,2026-09-20,выпущен,,2030,Экономика,no,
STU000168,Петров Дмитрий Иванович,14.03.2025,академ,4.99,2030,Информатика,yes,
STU002378,Соколов Дмитрий Павловна,03/28/2029,ACTIVE,"4,37",2034,История,yes,manual_fix
STU001296,Соколов Анна Михайловна,07/19/2025,выпущен,"3,52",2030,Экономика,no,manual_fix
,Кузнецов Дмитрий Павлович,2030,отчислен,"4,58",2034,Экономика,yes,reimport
STU001003,Смирнов Анна Сергеевна,2025-06-19,обучается,3.88,2030,Юриспруденция,yes,
STU001605,Лебедев Дмитрий Михайлович,10.06.2028,обучается,,2033,Экономика,yes,manual_fix
STU001218,Смирнов Дмитрий Алексеевич,11/18/2027,академ,2.84,2033,Менеджмент,yes,manual_fix
STU001553,Петров Павел Дмитриевна,2028-03-15,обучается,"4,59",2033,Лингвистика,no,
STU001238,Козлов Дмитрий Иванович,2027-12-25,suspended,4.02,2033,Математика,no,reimport
STU002188,Лебедев Алексей Дмитриевна,2026,обучается,4.39,2030,Менеджмент,yes,manual_fix
STU000125,Смирнов Дмитрий Михайлович,28.05.2029,обучается,"4,75",2033,Информатика,yes,
STU002359,Иванов Татьяна Алексеевна,12.08.2028,академ,"2,90",2034,Физика,no,
STU001275,Иванов Виктория Сергеевич,2029,обучается,3.54,2034,Лингвистика,no,
STU000181,Иванов Никита Павлович,2029,Учится,"4,51",2034,Менеджмент,yes,reimport
STU001096,Соколов Дарья Алексеевна,11/01/2026,Учится,"3,42",2030,Физика,no,manual_fix
STU001614,Соколов Елена Павлович,2028-07-22,Учится,,2034,Лингвистика,yes,manual_fix
STU002051,Петров Сергей Дмитриевна,2025,выпущен,4.12,2029,История,yes,
STU001180,Лебедев Мария Павлович,09/21/2025,выпущен,4.06,2029,Информатика,yes,
STU000288,Смирнов Егор Алексеевич,01.12.2030,выпущен,4.28,2034,Экономика,yes,manual_fix
STU000796,Иванов Алексей Сергеевич,17.03.2030,академ,3.64,2034,Физика,yes,
,Лебедев Татьяна Дмитриевна,2030,обучается,"4,72",2034,Информатика,no,
STU000496,Петров Дарья Михайловна,2029-01-09,отчислен,"3,44",2034,Юриспруденция,yes,reimport
STU002324,Соколов Никита Павлович,10.10.2026,отчислен,3.02,2032,Лингвистика,no,
 STU000338 ,Козлов Ольга Алексеевна,2029,отчислен,"4,55",2034,Физика,yes,
STU000237,Кузнецов Алексей Дмитриевна,2026,обучается,"3,32",2032,Математика,yes,reimport
,Смирнов Алексей Сергеевна,25.09.2027,обучается,"4,43",2032,Лингвистика,yes,
STU001304,Соколов Сергей Алексеевич,2025-07-09,ACTIVE,3.46,2029,История,yes,
STU000752,Петров Сергей Иванович,2027-07-09,выпущен,3.96,2031,Юриспруденция,yes,reimport
,Кузнецов Никита Алексеевич,19.10.2025,отчислен,3.41,2030,Математика,yes,
STU001867,Кузнецов Мария Павловна,2027,graduated,3.47,2031,Информатика,yes,reimport
 STU001432 ,Кузнецов Егор Дмитриевна,2029-07-06,обучается,3.56,2034,Физика,no,
STU001843,Иванов Сергей Дмитриевич,02/26/2028,Учится,4.12,2034,Экономика,no,
STU000207,Петров Мария Павлович,06/15/2025,выпущен,"3,71",2031,Менеджмент,no,reimport
STU002301,Иванов Никита Дмитриевна,2029-02-23,обучается,4.93,2034,Лингвистика,no,reimport
STU000544,Соколов Дарья Сергеевич,22.03.2028,обучается,3.73,2034,Менеджмент,yes,manual_fix
STU001163,Кузнецов Павел Михайлович,2025,Учится,"4,25",2029,История,no,manual_fix
,Соколов Дмитрий Иванович,07.03.2026,в академе,3.53,2031,Математика,yes,
STU000307,Козлов Алексей Сергеевич,05/01/2028,обучается,"4,40",2034,Физика,no,
STU001464,Петров Дарья Дмитриевна,2025,выпущен,4.03,2030,Экономика,no,
STU001277,Соколов Анна Сергеевич,26.03.2027,отчислен,3.79,2033,Физика,no,
STU002164,Попов Анна Сергеевна,2028,отчислен,"4,12",2033,Экономика,no,manual_fix
STU002271,Попов Сергей Сергеевна,07.05.2025,Учится,4.30,2031,Лингвистика,yes,reimport
STU001882,Кузнецов Алексей Дмитриевич,24.11.2026,отчислен,"3,34",2031,Математика,no,reimport
STU001083,Иванов Сергей Дмитриевич,03/08/2026,suspended,3.80,2032,Менеджмент,yes,
STU000170,Лебедев Алексей Павловна,2030-08-13,ACTIVE,3.36,2034,Физика,yes,
STU002214,Петров Виктория Михайловна,13.07.2030,Учится,"4,24",2034,Менеджмент,no,
STU001739,Смирнов Павел Алексеевич,14.12.2029,обучается,"3,55",2034,Юриспруденция,yes,
STU000809,Смирнов Ольга Дмитриевна,2025-05-09,выпущен,4.66,2029,Лингвистика,yes,manual_fix
STU000015,Попов Никита Павлович,06/08/2028,академ,"5,00",2034,Экономика,yes,manual_fix
STU001095,Иванов Иван Иванович,01/11/2028,Учится,"3,23",2033,Физика,no,
STU002072,Кузнецов Дмитрий Михайловна,01/08/2026,выпущен,3.67,2031,Математика,yes,
STU000366,Попов Виктория Алексеевна,18.09.2030,академ,3.62,2034,Лингвистика,yes,
STU002378,Соколов Дмитрий Павловна,2029,обучается,3.86,2034,Информатика,yes,
STU001173,Соколов Алексей Михайлович,10/15/2029,академ,3.83,2034,Математика,yes,
STU001777,Лебедев Дмитрий Михайловна,11/07/2027,suspended,4.19,2031,Информатика,yes,
STU001698,Соколов Дмитрий Дмитриевич,2028,выпущен,"3,99",2033,Лингвистика,yes,
STU002009,Попов Алина Дмитриевич,2027-10-26,обучается,"4,27",2033,Математика,no,reimport
STU000614,Кузнецов Алина Дмитриевна,2028-01-15,в академе,"4,49",2033,Лингвистика,yes,
 STU002312 ,Попов Дарья Павлович,02/22/2026,выпущен,3.74,2030,Информатика,yes,
STU001274,Смирнов Анна Павловна,02/18/2027,обучается,3.48,2033,Юриспруденция,yes,manual_fix
STU001503,Иванов Сергей Дмитриевна,2027-09-16,выпущен,3.46,2031,Физика,yes,
STU000102,Кузнецов Никита Сергеевич,2029,ACTIVE,3.52,2033,Математика,no,reimport
STU000386,Попов Алексей Павловна,10.01.2025,отчислен,4.54,2031,Математика,no,
STU001665,Козлов Сергей Сергеевич,09.10.2030,обучается,"4,91",2034,Информатика,yes,manual_fix
STU000969,Иванов Ольга Дмитриевич,2027-03-02,suspended,3.87,2032,Экономика,no,
STU001020,Кузнецов Анна Павловна,2027,ACTIVE,3.73,2032,Менеджмент,no,
STU000896,Козлов Иван Ивановна,2029-09-07,ACTIVE,"3,58",2033,История,no,
STU001423,Кузнецов Никита Алексеевич,22.07.2025,выпущен,3.04,2030,Юриспруденция,no,reimport
STU001007,Попов Мария Павлович,20.07.2025,обучается,4.15,2029,История,yes,reimport
STU001310,Козлов Павел Дмитриевна,09.01.2029,академ,4.50,2033,Экономика,yes,
STU001253,Попов Ольга Сергеевна,2029-07-05,отчислен,3.59,2033,Физика,no,manual_fix
,Соколов Виктория Алексеевна,2025,выпущен,4.68,2031,Информатика,no,manual_fix
STU000067,Лебедев Павел Ивановна,01/10/2025,выпущен,4.54,2030,Физика,yes,
STU000590,Петров Алина Иванович,2026,академ,4.90,2032,Математика,yes,
STU001457,Попов Михаил Ивановна,13.06.2029,отчислен,4.95,2034,Математика,no,
STU001737,Петров Дмитрий Сергеевна,2029-10-18,ACTIVE,3.60,2034,Математика,yes,
STU001928,Соколов Иван Михайловна,2026,обучается,4.49,2030,Экономика,no,manual_fix
STU002333,Попов Иван Сергеевич,2030,обучается,5.00,2034,Лингвистика,yes,reimport
STU001919,Лебедев Алексей Алексеевич,2025-12-28,обучается,3.36,2030,Лингвистика,yes,manual_fix
STU000329,Попов Сергей Михайловна,22.12.2027,в академе,4.24,2032,Экономика,yes,reimport
STU001669,Петров Михаил Павлович,04/15/2026,ACTIVE,4.85,2030,Лингвистика,yes,reimport
STU000893,Иванов Павел Алексеевна,07/04/2025,выпущен,"4,24",2029,Юриспруденция,yes,
STU001775,Лебедев Мария Павлович,08/10/2028,suspended,"4,39",2034,Математика,yes,reimport
STU002351,Иванов Татьяна Михайлович,18.08.2029,обучается,3.42,2034,Экономика,yes,
STU000931,Иванов Елена Сергеевна,08.08.2027,выпущен,3.38,2032,Информатика,yes,
STU000832,Иванов Михаил Сергеевна,2030-06-08,обучается,3.12,2034,Юриспруденция,yes,manual_fix
STU002091,Попов Сергей Алексеевич,08/15/2026,выпущен,3.85,2030,Юриспруденция,yes,reimport
STU002177,Смирнов Татьяна Михайлович,10.12.2026,отчислен,"4,75",2032,Физика,yes,reimport
STU001222,Кузнецов Дарья Сергеевич,06.10.2026,обучается,3.96,2032,Информатика,yes,reimport
 STU002144 ,Попов Дарья Сергеевна,2028,академ,3.03,2032,Экономика,no,
STU000066,Лебедев Алексей Алексеевна,2028-08-11,ACTIVE,3.25,2034,Информатика,yes,manual_fix
STU000780,Лебедев Иван Михайлович,2029,отчислен,"4,29",2034,Менеджмент,yes,manual_fix
STU002040,Лебедев Мария Сергеевна,2025-08-28,обучается,"4,02",2030,Юриспруденция,no,manual_fix
STU000802,Соколов Дмитрий Дмитриевна,2026-03-24,отчислен,,2032,Информатика,no,manual_fix
STU000913,Иванов Алексей Дмитриевич,17.08.2028,обучается,"3,96",2034,Лингвистика,no,
STU000863,Лебедев Павел Михайловна,24.04.2028,graduated,3.18,2032,Лингвистика,yes,manual_fix
STU001085,Петров Сергей Павлович,04/05/2026,обучается,4.67,2030,Физика,yes,reimport
STU001154,Петров Михаил Алексеевна,2028-11-23,обучается,4.65,2033,История,no,
STU002211,Попов Виктория Дмитриевна,2029,Учится,"4,71",2033,История,no,reimport
STU001459,Петров Татьяна Павловна,2028,обучается,3.35,2033,Юриспруденция,no,
STU001520,Лебедев Анна Сергеевич,06/28/2030,ACTIVE,4.00,2034,Математика,yes,
STU001184,Соколов Иван Дмитриевна,2028-04-12,Учится,3.45,2034,История,no,
 STU001983 ,Лебедев Анна Алексеевич,2027,обучается,4.71,2033,Экономика,no,
STU001678,Козлов Павел Дмитриевич,03/11/2027,выпущен,3.34,2033,Юриспруденция,yes,
STU002170,Лебедев Сергей Сергеевич,13.07.2027,Учится,"3,62",2032,Экономика,yes,reimport
STU001605,Лебедев Дмитрий Михайлович,08/07/2028,обучается,4.40,2033,Информатика,no,
,Лебедев Иван Ивановна,2027-11-04,выпущен,4.08,2033,История,no,reimport
STU002226,Кузнецов Ольга Алексеевич,01/28/2026,академ,4.46,2030,Менеджмент,no,reimport
STU000515,Козлов Ольга Алексеевна,06.09.2028,академ,3.76,2033,Физика,yes,
STU000744,Лебедев Ольга Михайлович,24.07.2030,академ,4.41,2034,Лингвистика,yes,
STU000210,Иванов Павел Сергеевич,22.04.2029,обучается,4.39,2034,Юриспруденция,no,manual_fix
STU000839,Кузнецов Алексей Иванович,2030,ACTIVE,3.79,2034,Информатика,yes,
STU000744,Лебедев Ольга Михайлович,23.09.2030,отчислен,3.90,2034,Информатика,no,reimport
STU001614,Соколов Елена Павлович,2028-02-12,обучается,4.14,2034,История,yes,reimport
STU002190,Козлов Мария Алексеевна,10/20/2027,отчислен,4.77,2033,Менеджмент,yes,manual_fix
STU000079,Кузнецов Егор Михайловна,2029,обучается,"4,19",2033,Информатика,yes,reimport
STU000999,Кузнецов Иван Михайловна,27.01.2027,Учится,,2032,Физика,no,reimport
STU001017,Смирнов Анна Михайлович,08.05.2028,enrolled,"3,59",2034,Лингвистика,yes,
STU000213,Смирнов Сергей Михайлович,2025,Учится,"3,22",2031,Информатика,no,manual_fix
STU000183,Соколов Павел Сергеевна,2025,ACTIVE,4.54,2030,Лингвистика,yes,reimport
STU000900,Петров Егор Сергеевич,2029,обучается,4.68,2033,История,no,
STU000146,Смирнов Мария Сергеевич,2025,обучается,5.00,2029,Физика,yes,reimport
STU001318,Козлов Иван Павловна,09/07/2028,обучается,"3,09",2034,Лингвистика,no,
,Попов Дмитрий Павловна,27.04.2029,обучается,3.55,2033,Лингвистика,no,
STU000026,Лебедев Виктория Ивановна,23.09.2027,ACTIVE,4.12,2032,Юриспруденция,no,manual_fix
STU001385,Кузнецов Татьяна Дмитриевна,04/18/2027,обучается,,2031,Лингвистика,yes,
STU001853,Иванов Дмитрий Павловна,01/23/2030,выпущен,4.07,2034,Лингвистика,yes,manual_fix
STU001624,Козлов Ольга Михайлович,04.02.2026,Учится,"3,68",2030,Информатика,yes,
STU000230,Соколов Павел Михайловна,2027-12-17,выпущен,"3,98",2032,Экономика,no,
STU000832,Иванов Михаил Сергеевна,2030,обучается,3.26,2034,Юриспруденция,no,reimport
STU001669,Петров Михаил Павлович,2026,отчислен,"4,95",2030,Экономика,yes,manual_fix
STU001969,Соколов Никита Алексеевна,12.10.2028,обучается,4.94,2032,Информатика,yes,
STU001584,Петров Елена Иванович,05/27/2025,выпущен,3.82,2030,Менеджмент,yes,
STU000998,Лебедев Мария Дмитриевна,2029-06-23,отчислен,"4,79",2034,Менеджмент,yes,
 STU000385 ,Кузнецов Ольга Дмитриевна,02.02.2029,ACTIVE,"4,07",2034,Математика,no,
STU001686,Смирнов Анна Дмитриевич,2029-10-07,выпущен,3.83,2034,Математика,no,reimport
STU000757,Петров Ольга Алексеевич,01.04.2027,обучается,4.54,2031,Физика,no,
STU001106,Петров Дмитрий Иванович,2025,обучается,3.42,2029,Физика,no,
STU000772,Попов Алексей Сергеевна,2030-03-14,обучается,"3,10",2034,Юриспруденция,yes,reimport
STU000386,Попов Алексей Павловна,21.02.2025,обучается,4.52,2031,Лингвистика,no,
STU001912,Лебедев Алексей Дмитриевич,17.04.2026,обучается,2.88,2030,Менеджмент,yes,
STU001761,Козлов Сергей Алексеевич,2026,обучается,,2031,Физика,yes,manual_fix
STU001456,Соколов Павел Павлович,07.06.2028,в академе,,2034,Лингвистика,yes,
STU000473,Козлов Иван Михайлович,2028,обучается,"4,61",2034,Физика,no,manual_fix
STU001304,Соколов Сергей Алексеевич,2025,ACTIVE,3.50,2029,Юриспруденция,no,manual_fix
STU001800,Лебедев Мария Иванович,2029,обучается,"3,87",2033,Экономика,no,
STU001022,Иванов Татьяна Иванович,2030,обучается,3.53,2034,Физика,yes,manual_fix
STU001299,Попов Анна Павловна,04/03/2029,обучается,3.87,2034,Лингвистика,yes,
STU001269,Иванов Елена Алексеевна,02/03/2026,graduated,4.85,2030,История,yes,
STU001365,Петров Сергей Дмитриевна,14.01.2030,Учится,4.48,2034,Физика,yes,manual_fix
STU000899,Попов Татьяна Ивановна,2028,обучается,4.74,2034,Менеджмент,no,manual_fix
STU001497,Иванов Сергей Дмитриевна,02/16/2026,обучается,4.38,2032,Информатика,no,
STU001076,Попов Мария Дмитриевна,2026-05-02,обучается,4.33,2030,Экономика,no,reimport
 STU001304 ,Соколов Сергей Алексеевич,08.05.2025,отчислен,3.45,2029,Экономика,yes,
STU001690,Петров Егор Сергеевич,01/02/2029,обучается,4.45,2034,История,yes,reimport
,Козлов Егор Дмитриевна,2027,в академе,3.90,2033,История,yes,reimport
STU000760,Иванов Дарья Алексеевич,2030-11-25,Учится,4.34,2034,Математика,no,manual_fix
STU002083,Петров Виктория Михайловна,23.07.2029,Учится,"3,94",2034,Информатика,no,
STU001444,Петров Виктория Ивановна,2025-04-12,отчислен,4.03,2030,Лингвистика,no,
STU000855,Петров Павел Иванович,12.05.2025,graduated,4.34,2031,Физика,no,reimport
STU002012,Петров Михаил Алексеевна,2027-10-11,выпущен,3.73,2031,История,no,manual_fix
